new_cases,PRECIPITATION,REL_HUMIDITY,MAX_TEMP,MIN_TEMP,MAX_WIND_SPEED,WIND_S50M,SOLAR1_INS_CLEAR_IND,SOLAR2_ALL_SKY_II,SOLAR3_DWN_THERM_IR,Level
56,17.79,84.43,6.38,-1.31,4.19,2.75,0.42,4.03,6.66,Level1
86,0,47.67,14.39,-2.67,5.25,4.47,0.74,7.11,5.71,Level1
86,0.01,51.42,15.95,0.45,4.25,3.96,0.73,7.03,5.95,Level1
55,0.02,68.39,9.06,-2.2,9.23,6.56,0.59,5.75,6.56,Level1
79,0.02,55.2,9.28,-3.78,4.19,3.62,0.75,7.31,5.12,Level1
93,0,62.81,11.93,-3.62,7.4,6.13,0.72,7.1,5.7,Level1
112,0.44,69.94,13.54,1.62,4.01,3.46,0.66,6.49,6.49,Level1
94,0,54.42,17.38,0.01,7.38,6.25,0.66,6.58,6.29,Level1
49,1.54,55.74,19.94,2.5,6,5.87,0.69,6.89,6.68,Level1
50,1.89,68,13.8,1.97,5.84,4.65,0.41,4.13,7.29,Level1
352,10.87,59.97,13.77,1.44,11.6,7.61,0.44,4.39,7.53,Level1
31,0.67,74.99,13.99,0.33,5.29,4.17,0.5,5.03,7.27,Level1
18,2.71,69.36,12.83,1.95,4.81,2.5,0.56,5.66,7,Level1
14,5.56,78.12,6.67,0.39,5.42,4.86,5.1,5.34,7.28,Level1
32,4.26,79.65,6.2,-1.39,4.38,3.74,5.17,5.1,7.3,Level1
15,0.04,74.45,7.23,-1.37,5.37,4.52,5.29,5.11,7.28,Level1
12,0.19,60.62,10.45,-0.95,3.18,2.8,5.59,5.07,7.06,Level1
8,0.21,58.44,11.64,-1.02,2.32,2.04,5.44,5.12,7.17,Level1
15,0,39.8,14.19,-0.8,3.65,3.38,5.41,5.17,7.18,Level1
10,0,33.98,16.79,-1.14,4.63,3.29,5.35,5.42,7.21,Level1
3,0,41.04,18.89,0.52,4.38,4.13,5.53,5.03,7.05,Level1
26,0.01,48.79,20.85,3.07,5,4.14,5.2,5.45,7.24,Level1
2,0,42.53,21.1,4.44,4.11,3.6,5.04,5.28,7.03,Level1
4,0,40.64,22.57,4.26,4.52,3.49,5.03,5.04,7.05,Level1
12,0,40.19,21.51,4.33,1.75,3.44,5.09,5.5,7.07,Level1
3,0,40.26,21.97,4.32,3.76,3.51,5.29,5.12,7.11,Level1
0,0.8,97.5,5.87,1.85,2.37,4.57,0.32,0.87,6.95,Level1
0,0.63,96.05,7.74,3.37,2.87,6.62,0.35,0.95,6.78,Level1
